cmc_symbol,bybit_base,status
0G,0G,listed
1000SATS,10000SATS,listed
1INCH,1INCH,listed
2Z,2Z,listed
999,,unlisted
A,,unlisted
AAC,,unlisted
AAVE,AAVE,listed
AB,,unlisted
ABBC,,unlisted
ABT,,unlisted
ACA,,unlisted
ACE,ACE,listed
ACH,ACH,listed
ACT,ACT,listed
ADA,ADA,listed
ADK,,unlisted
ADX,,unlisted
AE,,unlisted
AERGO,,unlisted
AERO,AERO,listed
AEVO,AEVO,listed
AGI,,unlisted
AGIX,,unlisted
AGRO,,unlisted
AGVC,,unlisted
AI,,unlisted
AI16Z,,unlisted
AIB,,unlisted
AION,,unlisted
AIOZ,,unlisted
AIXBT,AIXBT,listed
AKRO,,unlisted
AKT,AKT,listed
ALGO,ALGO,listed
ALICE,ALICE,listed
ALLO,,unlisted
ALPHA,,unlisted
ALT,ALT,listed
AMB,,unlisted
AMP,,unlisted
AMPL,,unlisted
ANC,,unlisted
ANIME,ANIME,listed
ANKR,ANKR,listed
ANT,,unlisted
AOA,,unlisted
APE,APE,listed
API3,API3,listed
APIX,,unlisted
APM,,unlisted
APPC,,unlisted
APT,APT,listed
AR,AR,listed
ARAW,,unlisted
ARB,ARB,listed
ARDR,,unlisted
ARK,ARK,listed
ARKM,ARKM,listed
ARPA,ARPA,listed
ASD,,unlisted
ASTER,ASTER,listed
ASTR,ASTR,listed
ATH,ATH,listed
ATOM,ATOM,listed
ATT,,unlisted
AUCTION,AUCTION,listed
AUDIO,,unlisted
AURORA,,unlisted
AVA,AVA,listed
AVAX,AVAX,listed
AVINOC,,unlisted
AVNT,,unlisted
AWE,,unlisted
AXEL,,unlisted
AXL,AXL,listed
AXS,AXS,listed
AZTEC,,unlisted
B,,unlisted
B3,B3,listed
BABY,BABY,listed
BABYDOGE,1000000BABYDOGE,listed
BADGER,,unlisted
BAKE,,unlisted
BAL,,unlisted
BANANAS31,BANANAS31,listed
BAND,BAND,listed
BARD,BARD,listed
BAT,BAT,listed
BAY,,unlisted
BAZT,,unlisted
BCD,,unlisted
BCH,BCH,listed
BCN,,unlisted
BCZERO,,unlisted
BDX,,unlisted
BEAM,BEAM,listed
BEAT,,unlisted
BEL,BEL,listed
BERA,BERA,listed
BF,,unlisted
BFT,,unlisted
BGB,,unlisted
BHD,,unlisted
BHP,,unlisted
BHT,,unlisted
BICO,BICO,listed
BIGTIME,BIGTIME,listed
BILL,,unlisted
BIO,BIO,listed
BIT,,unlisted
BIX,,unlisted
BLAST,BLAST,listed
BLOK,,unlisted
BLUR,BLUR,listed
BLZ,,unlisted
BNANA,,unlisted
BNB,BNB,listed
BNK,,unlisted
BNT,BNT,listed
BNX,,unlisted
BOA,,unlisted
BOBA,,unlisted
BOME,BOME,listed
BOND,,unlisted
BONE,,unlisted
BONK,1000BONK,listed
BORA,,unlisted
BOTX,,unlisted
BPC,,unlisted
BPS,,unlisted
BRC,,unlisted
BRD,,unlisted
BRETT,BRETT,listed
BRG,,unlisted
BRISE,,unlisted
BRZE,,unlisted
BST,,unlisted
BSV,BSV,listed
BTC,BTC,listed
BTC2,,unlisted
BTCB,,stablecoin
BTCP,,unlisted
BTCST,,unlisted
BTG,,unlisted
BTM,,unlisted
BTMX,,unlisted
BTRS,,unlisted
BTRST,,unlisted
BTS,,unlisted
BTT,1000BTT,listed
BTTOLD,,unlisted
BTU,,unlisted
BUSD,,stablecoin
BXK,,unlisted
BZ,,unlisted
BZRX,,unlisted
BZT,,unlisted
