cmc_symbol,bybit_base,status
C20,,unlisted
C98,C98,listed
CAKE,CAKE,listed
CAP,,unlisted
CASHCAT,,unlisted
CATI,CATI,listed
CBUCKS,,unlisted
CC,CC,listed
CCA,,unlisted
CCC,,unlisted
CCXX,,unlisted
CEEK,,unlisted
CEL,,unlisted
CELO,CELO,listed
CELR,,unlisted
CENNZ,,unlisted
CFG,CFG,listed
CFX,CFX,listed
CGPT,CGPT,listed
CHEEL,,unlisted
CHEEMS,,unlisted
CHILLGUY,CHILLGUY,listed
CHIP,CHIP,listed
CHR,CHR,listed
CHSB,,unlisted
CHZ,CHZ,listed
CIX100,,unlisted
CKB,CKB,listed
CMT,,unlisted
CND,,unlisted
CNNC,,unlisted
CNT,,unlisted
CNX,,unlisted
COCOS,,unlisted
COMBO,,unlisted
COMP,COMP,listed
COQ,,unlisted
CORE,CORE,listed
COS,,unlisted
COTI,COTI,listed
COV,,unlisted
COW,COW,listed
CPS,,unlisted
CQT,,unlisted
CRE,,unlisted
CREAM,,unlisted
CRN,,unlisted
CRO,CRO,listed
CRPT,,unlisted
CRV,CRV,listed
CSC,,unlisted
CSPR,,unlisted
CTC,CTC,listed
CTK,,unlisted
CTSI,,unlisted
CTT,,unlisted
CTXC,,unlisted
CVC,CVC,listed
CVCC,,unlisted
CVN,,unlisted
CVP,,unlisted
CVT,,unlisted
CVX,CVX,listed
CWV,,unlisted
CYBER,CYBER,listed
DAC,,unlisted
DAD,,unlisted
DAG,,unlisted
DAI,,stablecoin
DAO,,unlisted
DAPP,,unlisted
DAR,,unlisted
DASH,DASH,listed
DATA,DATA,listed
DCN,,unlisted
DCR,,unlisted
DEEP,DEEP,listed
DENT,,unlisted
DERO,,unlisted
DESO,,unlisted
DEV,,unlisted
DEX,,unlisted
DEXE,DEXE,listed
DFI,,unlisted
DGB,,unlisted
DGD,,unlisted
DGTX,,unlisted
DGX,,unlisted
DIA,DIA,listed
DIVI,,unlisted
DMCH,,unlisted
DMG,,unlisted
DMT,,unlisted
DNA,,unlisted
DNT,,unlisted
DOCK,,unlisted
DODO,,unlisted
DOG,,unlisted
DOGE,DOGE,listed
DOGS,,unlisted
DOS,,unlisted
DOT,DOT,listed
DPT,,unlisted
DRG,,unlisted
DRGN,,unlisted
DRIFT,DRIFT,listed
DTR,,unlisted
DUSK,,unlisted
DVI,,unlisted
DX,,unlisted
DYDX,DYDX,listed
DYM,DYM,listed
DYN,,unlisted
ECOREAL,,unlisted
EDC,,unlisted
EDGE,EDGE,listed
EDLC,,unlisted
EDO,,unlisted
EDR,,unlisted
EDU,EDU,listed
EFI,,unlisted
EGLD,EGLD,listed
EGR,,unlisted
EIGEN,EIGEN,listed
EKT,,unlisted
ELA,,unlisted
ELAMA,,unlisted
ELF,,unlisted
ELON,,unlisted
EMC2,,unlisted
EMRX,,unlisted
ENA,ENA,listed
ENG,,unlisted
ENJ,ENJ,listed
ENS,ENS,listed
EON,,unlisted
EOS,,unlisted
EOSDAC,,unlisted
EPS,,unlisted
ERA,ERA,listed
ERC20,,unlisted
ERD,,unlisted
ERG,,unlisted
ESCE,,unlisted
ESP,ESP,listed
ETC,ETC,listed
ETH,ETH,listed
ETHDYDX,,unlisted
ETHFI,ETHFI,listed
ETHW,,unlisted
ETN,,unlisted
ETP,,unlisted
EUL,EUL,listed
EURC,,stablecoin
EURS,,stablecoin
EVER,,unlisted
EVN,,unlisted
EVR,,unlisted
EVX,,unlisted
EWT,,unlisted
EXE,,unlisted
FAB,,unlisted
FARM,,unlisted
FARTCOIN,FARTCOIN,listed
FCT,,unlisted
FDUSD,,stablecoin
FEI,,unlisted
FET,,unlisted
FF,FF,listed
FIDA,FIDA,listed
FIL,FIL,listed
FIO,,unlisted
FIRO,,unlisted
FIS,,unlisted
FLG,,unlisted
FLM,,unlisted
FLOKI,1000FLOKI,listed
FLOW,FLOW,listed
FLR,FLR,listed
FLUID,FLUID,listed
FLUX,FLUX,listed
FNSA,,unlisted
FOGO,FOGO,listed
FOLKS,,unlisted
FORM,FORM,listed
FRAX,,stablecoin
FRONT,,unlisted
FSN,,unlisted
FST,,unlisted
FTM,,unlisted
FTT,,unlisted
FUN,,unlisted
FX,,unlisted
FXC,,unlisted
FXS,,unlisted
G,,unlisted
GAL,,unlisted
GALA,GALA,listed
GAP,,unlisted
GAS,GAS,listed
GBYTE,,unlisted
GCR,,unlisted
GEN,,unlisted
GENIUS,,unlisted
GEOD,,unlisted
GF,,unlisted
GHST,,unlisted
GIGA,,unlisted
GLEEC,,unlisted
GLM,GLM,listed
GLMR,,unlisted
GMT,GMT,listed
GMX,GMX,listed
GNO,,unlisted
GNT,,unlisted
GNY,,unlisted
GO,,unlisted
GOAT,GOAT,listed
GOMINING,,unlisted
GPS,,unlisted
GRAM,GRAM,listed
GRASS,GRASS,listed
GRIFFAIN,GRIFFAIN,listed
GRIN,,unlisted
GRN,,unlisted
GRS,,unlisted
GRT,GRT,listed
GT,,unlisted
GTC,,unlisted
GTN,,unlisted
GTO,,unlisted
GUSD,,stablecoin
GVT,,unlisted
GWEI,,unlisted
GXC,,unlisted
H,,unlisted
HAKKA,,unlisted
HARD,,unlisted
HBAR,HBAR,listed
HC,,unlisted
HEDG,,unlisted
HEX,,unlisted
HFT,,unlisted
HIFI,,unlisted
HIGH,,unlisted
HIVE,HIVE,listed
HMR,,unlisted
HMSTR,HMSTR,listed
HNC,,unlisted
HNS,,unlisted
HNT,HNT,listed
HOME,HOME,listed
HOOK,,unlisted
HOT,,unlisted
HPB,,unlisted
HPT,,unlisted
HT,,unlisted
HTDF,,unlisted
HUSD,,unlisted
HXRO,,unlisted
HYN,,unlisted
HYPE,HYPE,listed
ICH,,unlisted
ICNT,ICNT,listed
ICP,ICP,listed
ICX,ICX,listed
ID,ID,listed
IDEX,,unlisted
IGNIS,,unlisted
ILC,,unlisted
ILV,ILV,listed
IMX,IMX,listed
INB,,unlisted
INJ,INJ,listed
INNBCL,,unlisted
INO,,unlisted
IO,IO,listed
IOST,IOST,listed
IOTA,IOTA,listed
IOTX,IOTX,listed
IP,,unlisted
IPX,,unlisted
IQ,,unlisted
IRIS,,unlisted
IRYS,,unlisted
ITC,,unlisted
IZE,,unlisted
JASMY,JASMY,listed
JOE,,unlisted
JST,JST,listed
JTO,JTO,listed
JUL,,unlisted
JUP,JUP,listed
JWL,,unlisted
KAI,,unlisted
KAIA,KAIA,listed
KAITO,KAITO,listed
KAS,KAS,listed
KAVA,KAVA,listed
KBC,,unlisted
KCASH,,unlisted
KCS,,unlisted
KDA,,unlisted
KEEP,,unlisted
KEY,,unlisted
KICK,,unlisted
KIN,,unlisted
KITE,KITE,listed
KLAY,,unlisted
KMD,,unlisted
KMNO,KMNO,listed
KNC,KNC,listed
KNCL,,unlisted
KP3R,,unlisted
KRT,,unlisted
KSM,KSM,listed
KTA,,unlisted
KWD,,unlisted
LA,LA,listed
LAMB,,unlisted
LAYER,,unlisted
LBC,,unlisted
LCX,,unlisted
LDO,LDO,listed
LEND,,unlisted
LEO,,unlisted
LET,,unlisted
LINA,,unlisted
LINEA,LINEA,listed
LINK,LINK,listed
LIT,LIT,listed
LN,,unlisted
LOC,,unlisted
LOCUS,,unlisted
LOKI,,unlisted
LOOKS,,unlisted
LOOM,,unlisted
LPT,LPT,listed
LQTY,LQTY,listed
LRC,LRC,listed
LRG,,unlisted
LSK,LSK,listed
LST,,unlisted
LTC,LTC,listed
LTO,,unlisted
LUNA,,unlisted
LUNC,1000LUNC,listed
LVX,,unlisted
M,,unlisted
MAGIC,MAGIC,listed
MAID,,unlisted
MANA,MANA,listed
MANTA,MANTA,listed
MANTRA,,unlisted
MARO,,unlisted
MARSCOIN,,unlisted
MASK,MASK,listed
MASS,,unlisted
MATIC,POL,listed
MAV,MAV,listed
MB,,unlisted
MBL,,unlisted
MBOX,,unlisted
MBX,,unlisted
MC,,unlisted
MCO,,unlisted
MDA,,unlisted
MDX,,unlisted
ME,ME,listed
MED,,unlisted
MEGA,MEGA,listed
MELANIA,MELANIA,listed
MEME,MEME,listed
MERL,MERL,listed
MET,MET,listed
META,,unlisted
METIS,METIS,listed
MEW,MEW,listed
MEXC,,unlisted
MFT,,unlisted
MICRO,,unlisted
MIN,,unlisted
MINA,MINA,listed
MIOTA,IOTA,listed
MIRA,MIRA,listed
MITH,,unlisted
MKR,,unlisted
MLK,,unlisted
MLN,,unlisted
MNT,MNT,listed
MOB,,unlisted
MOBI,,unlisted
MOBILE,,unlisted
MOCA,MOCA,listed
MOF,,unlisted
MOG,1000000MOG,listed
MON,MON,listed
MONA,,unlisted
MOODENG,MOODENG,listed
MORPHO,MORPHO,listed
MOVE,MOVE,listed
MOVR,MOVR,listed
MRPH,,unlisted
MTL,MTL,listed
MULTI,,unlisted
MVL,,unlisted
MWC,,unlisted
MX,,unlisted
MXC,,unlisted
MXM,,unlisted
MYX,,unlisted
NANO,,unlisted
NAS,,unlisted
NAV,,unlisted
NCT,,unlisted
NEAR,NEAR,listed
NEBL,,unlisted
NEC,,unlisted
NEIRO,,unlisted
NEO,NEO,listed
NEST,,unlisted
NET,,unlisted
NEW,,unlisted
NEX,10000NEX,listed
NEXO,,unlisted
NFT,,unlisted
NIGHT,NIGHT,listed
NIM,,unlisted
NKN,,unlisted
NMR,NMR,listed
NOAH,,unlisted
NOIA,,unlisted
NOT,NOT,listed
NPXS,,unlisted
NRG,,unlisted
NTRN,,unlisted
NU,,unlisted
NULS,,unlisted
NVT,,unlisted
NXM,,unlisted
NXPC,NXPC,listed
NXS,,unlisted
NXT,,unlisted
NYE,,unlisted
NYM,,unlisted
O,,unlisted
OAS,,unlisted
OAX,,unlisted
OCEAN,,unlisted
ODE,,unlisted
OGN,OGN,listed
OKB,OKB,listed
OKS,,unlisted
OM,,unlisted
OMG,,unlisted
ONDO,ONDO,listed
ONE,,unlisted
ONG,ONG,listed
ONT,ONT,listed
OP,OP,listed
OPEN,,unlisted
OPIUM,,unlisted
ORBS,,unlisted
ORCA,ORCA,listed
ORDI,ORDI,listed
ORN,,unlisted
OSMO,,unlisted
OST,,unlisted
OXEN,,unlisted
OXT,,unlisted
PAI,,unlisted
PAX,,unlisted
PAXG,,stablecoin
PAY,,unlisted
PCX,,unlisted
PENDLE,PENDLE,listed
PENGU,PENGU,listed
PEOPLE,PEOPLE,listed
PEPE,1000PEPE,listed
PERP,,unlisted
PHA,PHA,listed
PHX,,unlisted
PI,,unlisted
PIEVERSE,,unlisted
PIPPIN,PIPPIN,listed
PIVX,,unlisted
PIXEL,PIXEL,listed
PLA,,unlisted
PLC,,unlisted
PLF,,unlisted
PLU,,unlisted
PLUME,PLUME,listed
PMA,,unlisted
PNK,,unlisted
PNT,,unlisted
PNUT,PNUT,listed
POA,,unlisted
POL,POL,listed
POLS,,unlisted
POLY,,unlisted
POLYX,POLYX,listed
POND,,unlisted
PONKE,,unlisted
PONS,PONS,listed
POPCAT,POPCAT,listed
PORTAL,PORTAL,listed
POWR,POWR,listed
PPT,,unlisted
PRIME,,unlisted
PRO,,unlisted
PROM,,unlisted
PROVE,PROVE,listed
PSG,,unlisted
PUMP,PUMPFUN,listed
PUNDIX,PUNDIX,listed
PYR,,unlisted
PYTH,PYTH,listed
PYUSD,,stablecoin
PZM,,unlisted
QASH,,unlisted
QBIT,,unlisted
QC,,unlisted
QKC,,unlisted
QNT,QNT,listed
QQQ,,unlisted
QSP,,unlisted
QTUM,QTUM,listed
R,,unlisted
RAD,,unlisted
RAVE,,unlisted
RAY,,unlisted
RBN,,unlisted
RCN,,unlisted
RDD,,unlisted
RDN,,unlisted
RDNT,,unlisted
RE,RE,listed
RED,RED,listed
REEF,,unlisted
REN,,unlisted
RENBTC,,unlisted
RENDER,RENDER,listed
REP,,unlisted
REPV2,,unlisted
REQ,,unlisted
REV,,unlisted
REW,,unlisted
RFOX,,unlisted
RFR,,unlisted
RGT,,unlisted
RIF,,unlisted
RING,,unlisted
RIO,,unlisted
RIVER,RIVER,listed
RLC,RLC,listed
RLUSD,,stablecoin
RLY,,unlisted
RNDR,,unlisted
ROBO,ROBO,listed
RON,,unlisted
ROSE,ROSE,listed
RPL,RPL,listed
RSR,RSR,listed
RSS3,,unlisted
RUNE,RUNE,listed
RVN,RVN,listed
S,,unlisted
S4F,,unlisted
SAFE,SAFE,listed
SAGA,SAGA,listed
SAHARA,SAHARA,listed
SAI,,unlisted
SAL,,unlisted
SALT,,unlisted
SAND,SAND,listed
SATS,10000SATS,listed
SBD,,unlisted
SC,,unlisted
SCC,,unlisted
SCR,,unlisted
SCRT,,unlisted
SEELE,,unlisted
SEI,SEI,listed
SENT,SENT,listed
SERO,,unlisted
SFI,,unlisted
SFP,,unlisted
SFUND,,unlisted
SHIB,SHIB1000,listed
SHR,,unlisted
SIGN,SIGN,listed
SIREN,,unlisted
SKL,SKL,listed
SKR,SKR,listed
SKY,SKY,listed
SKYAI,,unlisted
SLP,SLP,listed
SLV,,unlisted
SNB,,unlisted
SNEK,,unlisted
SNM,,unlisted
SNT,SNT,listed
SNX,SNX,listed
SOL,SOL,listed
SOLO,,unlisted
SOLVE,,unlisted
SOMI,SOMI,listed
SOON,SOON,listed
SOS,,unlisted
SOUL,,unlisted
SPC,,unlisted
SPELL,,unlisted
SPK,SPK,listed
SPND,,unlisted
SPX,SPX,listed
SRM,,unlisted
SRN,,unlisted
SSV,SSV,listed
STABLE,STABLE,listed
STAKE,,unlisted
STEEM,STEEM,listed
STETH,,stablecoin
STG,STG,listed
STMX,,unlisted
STO,,unlisted
STORJ,STORJ,listed
STORM,,unlisted
STP,,unlisted
STPT,,unlisted
STRAT,,unlisted
STRAX,,unlisted
STREAM,,unlisted
STRK,STRK,listed
STX,STX,listed
SUI,SUI,listed
SUN,SUN,listed
SUN-OLD,,unlisted
SUPER,SUPER,listed
SURE,,unlisted
SUSD,,stablecoin
SUSHI,SUSHI,listed
SWAP,,unlisted
SWFTC,,unlisted
SWTH,,unlisted
SXP,,unlisted
SYN,,unlisted
SYRUP,SYRUP,listed
SYS,,unlisted
T,,unlisted
TAG,,unlisted
TAGZ5,,unlisted
TAO,TAO,listed
TCT,,unlisted
TEL,,unlisted
TFUEL,,unlisted
THETA,THETA,listed
THR,,unlisted
THX,,unlisted
TIA,TIA,listed
TIME,,unlisted
TKO,,unlisted
TMTG,,unlisted
TNB,,unlisted
TNC,,unlisted
TNT,,unlisted
TOMI,,unlisted
TOMO,,unlisted
TON,,unlisted
TOSHI,1000TOSHI,listed
TRAC,,unlisted
TRB,TRB,listed
TRIBE,,unlisted
TROY,,unlisted
TRU,,unlisted
TRUE,,unlisted
TRUMP,TRUMP,listed
TRX,TRX,listed
TSHP,,unlisted
TT,,unlisted
TTT,,unlisted
TURBO,1000TURBO,listed
TUSD,,stablecoin
TWT,TWT,listed
U,,unlisted
UBT,,unlisted
UMA,UMA,listed
UNFI,,unlisted
UNI,UNI,listed
UNIBOT,,unlisted
UOS,,unlisted
UPP,,unlisted
UQC,,unlisted
USD1,,stablecoin
USDC,,stablecoin
USDD,,stablecoin
USDE,,stablecoin
USDG,,stablecoin
USDK,,unlisted
USDN,,unlisted
USDP,,stablecoin
USDT,,stablecoin
USELESS,,unlisted
UST,,unlisted
USTC,USTC,listed
USUAL,USUAL,listed
UTK,,unlisted
UXLINK,,unlisted
VAI,,unlisted
VANA,VANA,listed
VANRY,,unlisted
VELO,VELO,listed
VELVET,,unlisted
VERI,,unlisted
VEST,,unlisted
VET,VET,listed
VGX,,unlisted
VIC,,unlisted
VIDT,,unlisted
VINE,,unlisted
VIRTUAL,VIRTUAL,listed
VITAE,,unlisted
VLX,,unlisted
VRA,,unlisted
VSN,,unlisted
VSYS,,unlisted
VTC,,unlisted
VTHO,,unlisted
VVV,,unlisted
W,,unlisted
WABI,,unlisted
WAL,WAL,listed
WAN,,unlisted
WASTR,,unlisted
WAVES,WAVES,listed
WAXP,WAXP,listed
WBTC,,stablecoin
WCC,,unlisted
WCT,WCT,listed
WEMIX,,unlisted
WHBAR,,unlisted
WICC,,unlisted
WIF,WIF,listed
WILD,,unlisted
WIN,,unlisted
WKAVA,,unlisted
WLD,WLD,listed
WLFI,WLFI,listed
WNXM,,unlisted
WOO,WOO,listed
WPR,,unlisted
WRX,,unlisted
WTC,,unlisted
WTHETA,,unlisted
WTRX,,unlisted
WXT,,unlisted
XAC,,unlisted
XAI,XAI,listed
XAN,XAN,listed
XAUT,,stablecoin
XCH,,unlisted
XCN,XCN,listed
XDB,,unlisted
XDC,,unlisted
XDCE,,unlisted
XEC,1000XEC,listed
XEM,,unlisted
XET,,unlisted
XHV,,unlisted
XIN,,unlisted
XLM,XLM,listed
XLT,,unlisted
XMR,XMR,listed
XMX,,unlisted
XNC,,unlisted
XNO,,unlisted
XNS,,unlisted
XOR,,unlisted
XPL,XPL,listed
XPR,,unlisted
XPRT,,unlisted
XRD,,unlisted
XRP,XRP,listed
XSN,,unlisted
XSR,,unlisted
XT,,unlisted
XTN,,unlisted
XTP,,unlisted
XTZ,XTZ,listed
XVG,XVG,listed
XVS,XVS,listed
XWC,,unlisted
XYM,,unlisted
XYO,,unlisted
XZC,,unlisted
YAP,,unlisted
YFI,YFI,listed
YFII,,unlisted
YFL,,unlisted
YFV,,unlisted
YGG,YGG,listed
YOU,,unlisted
YZY,,unlisted
ZAMA,ZAMA,listed
ZAP,,unlisted
ZB,,unlisted
ZBCN,ZBCN,listed
ZBU,,unlisted
ZCN,,unlisted
ZEC,ZEC,listed
ZEN,ZEN,listed
ZEON,,unlisted
ZEREBRO,ZEREBRO,listed
ZETA,ZETA,listed
ZIL,ZIL,listed
ZK,ZK,listed
ZKJ,,unlisted
ZKS,,unlisted
ZLW,,unlisted
ZORA,ZORA,listed
ZRO,ZRO,listed
ZRX,ZRX,listed
ZT,,unlisted
ZVC,,unlisted
币安人生,,unlisted
